 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8805E-03    2.8546E-03    2.5905E-05
  0.020    5.7667E-03    5.7148E-03    5.1929E-05
  0.030    8.6590E-03    8.5809E-03    7.8075E-05
  0.040    1.1558E-02    1.1453E-02    1.0435E-04
  0.050    1.4463E-02    1.4332E-02    1.3075E-04
  0.060    1.7374E-02    1.7217E-02    1.5728E-04
  0.070    2.0293E-02    2.0109E-02    1.8395E-04
  0.080    2.3220E-02    2.3009E-02    2.1076E-04
  0.090    2.6153E-02    2.5916E-02    2.3772E-04
  0.100    2.9095E-02    2.8831E-02    2.6482E-04
  0.110    3.2045E-02    3.1753E-02    2.9207E-04
  0.120    3.5004E-02    3.4685E-02    3.1948E-04
  0.130    3.7971E-02    3.7624E-02    3.4705E-04
  0.140    4.0948E-02    4.0573E-02    3.7478E-04
  0.150    4.3934E-02    4.3531E-02    4.0268E-04
  0.160    4.6930E-02    4.6499E-02    4.3075E-04
  0.170    4.9936E-02    4.9477E-02    4.5900E-04
  0.180    5.2952E-02    5.2465E-02    4.8743E-04
  0.190    5.5980E-02    5.5464E-02    5.1605E-04
  0.200    5.9018E-02    5.8473E-02    5.4486E-04
  0.210    6.2068E-02    6.1494E-02    5.7386E-04
  0.220    6.5130E-02    6.4527E-02    6.0307E-04
  0.230    6.8205E-02    6.7572E-02    6.3248E-04
  0.240    7.1292E-02    7.0629E-02    6.6211E-04
  0.250    7.4392E-02    7.3700E-02    6.9195E-04
  0.260    7.7505E-02    7.6783E-02    7.2202E-04
  0.270    8.0633E-02    7.9880E-02    7.5231E-04
  0.280    8.3775E-02    8.2992E-02    7.8284E-04
  0.290    8.6931E-02    8.6118E-02    8.1361E-04
  0.300    9.0103E-02    8.9259E-02    8.4463E-04
  0.310    9.3291E-02    9.2415E-02    8.7590E-04
  0.320    9.6495E-02    9.5587E-02    9.0743E-04
  0.330    9.9715E-02    9.8776E-02    9.3923E-04
  0.340    1.0295E-01    1.0198E-01    9.7131E-04
  0.350    1.0621E-01    1.0521E-01    1.0037E-03
  0.360    1.0948E-01    1.0845E-01    1.0363E-03
  0.370    1.1278E-01    1.1171E-01    1.0693E-03
  0.380    1.1609E-01    1.1498E-01    1.1025E-03
  0.390    1.1942E-01    1.1828E-01    1.1361E-03
  0.400    1.2277E-01    1.2160E-01    1.1700E-03
