 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8653E-03    2.8392E-03    2.6102E-05
  0.020    5.7359E-03    5.6836E-03    5.2331E-05
  0.030    8.6122E-03    8.5335E-03    7.8690E-05
  0.040    1.1494E-02    1.1389E-02    1.0518E-04
  0.050    1.4383E-02    1.4251E-02    1.3182E-04
  0.060    1.7277E-02    1.7119E-02    1.5859E-04
  0.070    2.0178E-02    1.9993E-02    1.8550E-04
  0.080    2.3086E-02    2.2874E-02    2.1257E-04
  0.090    2.6001E-02    2.5761E-02    2.3979E-04
  0.100    2.8923E-02    2.8656E-02    2.6716E-04
  0.110    3.1853E-02    3.1558E-02    2.9469E-04
  0.120    3.4791E-02    3.4468E-02    3.2239E-04
  0.130    3.7737E-02    3.7386E-02    3.5025E-04
  0.140    4.0691E-02    4.0312E-02    3.7829E-04
  0.150    4.3653E-02    4.3247E-02    4.0650E-04
  0.160    4.6625E-02    4.6190E-02    4.3489E-04
  0.170    4.9606E-02    4.9143E-02    4.6347E-04
  0.180    5.2597E-02    5.2104E-02    4.9224E-04
  0.190    5.5597E-02    5.5076E-02    5.2120E-04
  0.200    5.8608E-02    5.8057E-02    5.5037E-04
  0.210    6.1629E-02    6.1049E-02    5.7974E-04
  0.220    6.4661E-02    6.4051E-02    6.0931E-04
  0.230    6.7704E-02    6.7065E-02    6.3911E-04
  0.240    7.0759E-02    7.0089E-02    6.6912E-04
  0.250    7.3825E-02    7.3126E-02    6.9936E-04
  0.260    7.6904E-02    7.6174E-02    7.2984E-04
  0.270    7.9996E-02    7.9235E-02    7.6055E-04
  0.280    8.3100E-02    8.2309E-02    7.9150E-04
  0.290    8.6218E-02    8.5396E-02    8.2271E-04
  0.300    8.9350E-02    8.8496E-02    8.5417E-04
  0.310    9.2497E-02    9.1611E-02    8.8590E-04
  0.320    9.5658E-02    9.4740E-02    9.1790E-04
  0.330    9.8834E-02    9.7884E-02    9.5017E-04
  0.340    1.0203E-01    1.0104E-01    9.8273E-04
  0.350    1.0523E-01    1.0422E-01    1.0156E-03
  0.360    1.0846E-01    1.0741E-01    1.0487E-03
  0.370    1.1170E-01    1.1062E-01    1.0822E-03
  0.380    1.1496E-01    1.1385E-01    1.1160E-03
  0.390    1.1824E-01    1.1709E-01    1.1501E-03
  0.400    1.2154E-01    1.2035E-01    1.1845E-03
  0.410    1.2485E-01    1.2363E-01    1.2193E-03
  0.420    1.2819E-01    1.2693E-01    1.2544E-03
  0.430    1.3155E-01    1.3026E-01    1.2899E-03
  0.440    1.3492E-01    1.3360E-01    1.3258E-03
  0.450    1.3833E-01    1.3696E-01    1.3620E-03
  0.460    1.4175E-01    1.4035E-01    1.3987E-03
  0.470    1.4519E-01    1.4376E-01    1.4357E-03
  0.480    1.4867E-01    1.4719E-01    1.4732E-03
  0.490    1.5216E-01    1.5065E-01    1.5110E-03
  0.500    1.5568E-01    1.5413E-01    1.5494E-03
  0.510    1.5923E-01    1.5764E-01    1.5881E-03
  0.520    1.6281E-01    1.6118E-01    1.6274E-03
  0.530    1.6641E-01    1.6474E-01    1.6671E-03
  0.540    1.7004E-01    1.6834E-01    1.7073E-03
  0.550    1.7371E-01    1.7196E-01    1.7480E-03
  0.560    1.7740E-01    1.7561E-01    1.7893E-03
  0.570    1.8113E-01    1.7930E-01    1.8311E-03
  0.580    1.8489E-01    1.8302E-01    1.8734E-03
  0.590    1.8868E-01    1.8677E-01    1.9163E-03
  0.600    1.9251E-01    1.9056E-01    1.9598E-03
  0.610    1.9638E-01    1.9438E-01    2.0040E-03
  0.620    2.0029E-01    1.9824E-01    2.0487E-03
  0.630    2.0423E-01    2.0214E-01    2.0941E-03
  0.640    2.0822E-01    2.0608E-01    2.1402E-03
  0.650    2.1225E-01    2.1006E-01    2.1869E-03
  0.660    2.1632E-01    2.1409E-01    2.2344E-03
  0.670    2.2044E-01    2.1816E-01    2.2826E-03
  0.680    2.2461E-01    2.2228E-01    2.3316E-03
  0.690    2.2883E-01    2.2645E-01    2.3814E-03
  0.700    2.3309E-01    2.3066E-01    2.4320E-03
  0.710    2.3741E-01    2.3493E-01    2.4835E-03
  0.720    2.4179E-01    2.3925E-01    2.5358E-03
  0.730    2.4622E-01    2.4363E-01    2.5891E-03
  0.740    2.5071E-01    2.4807E-01    2.6433E-03
  0.750    2.5527E-01    2.5257E-01    2.6984E-03
  0.760    2.5988E-01    2.5713E-01    2.7547E-03
  0.770    2.6457E-01    2.6176E-01    2.8119E-03
  0.780    2.6932E-01    2.6645E-01    2.8703E-03
  0.790    2.7415E-01    2.7122E-01    2.9298E-03
  0.800    2.7905E-01    2.7606E-01    2.9906E-03
  0.810    2.8403E-01    2.8098E-01    3.0526E-03
  0.820    2.8910E-01    2.8598E-01    3.1158E-03
  0.830    2.9424E-01    2.9106E-01    3.1805E-03
  0.840    2.9948E-01    2.9624E-01    3.2465E-03
  0.850    3.0482E-01    3.0150E-01    3.3140E-03
  0.860    3.1025E-01    3.0686E-01    3.3831E-03
  0.870    3.1578E-01    3.1233E-01    3.4538E-03
  0.880    3.2142E-01    3.1790E-01    3.5262E-03
  0.890    3.2717E-01    3.2357E-01    3.6003E-03
  0.900    3.3305E-01    3.2937E-01    3.6763E-03
  0.910    3.3904E-01    3.3529E-01    3.7543E-03
  0.920    3.4517E-01    3.4133E-01    3.8343E-03
  0.930    3.5143E-01    3.4751E-01    3.9164E-03
  0.940    3.5783E-01    3.5383E-01    4.0008E-03
  0.950    3.6439E-01    3.6030E-01    4.0877E-03
  0.960    3.7111E-01    3.6693E-01    4.1770E-03
  0.970    3.7799E-01    3.7372E-01    4.2690E-03
  0.980    3.8505E-01    3.8069E-01    4.3638E-03
  0.990    3.9230E-01    3.8783E-01    4.4615E-03
  1.000    3.9974E-01    3.9518E-01    4.5624E-03
