 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8213E-03    2.7959E-03    2.5338E-05
  0.020    5.6481E-03    5.5973E-03    5.0797E-05
  0.030    8.4806E-03    8.4042E-03    7.6380E-05
  0.040    1.1319E-02    1.1217E-02    1.0209E-04
  0.050    1.4164E-02    1.4036E-02    1.2793E-04
  0.060    1.7015E-02    1.6861E-02    1.5391E-04
  0.070    1.9873E-02    1.9693E-02    1.8002E-04
  0.080    2.2738E-02    2.2532E-02    2.0627E-04
  0.090    2.5611E-02    2.5378E-02    2.3266E-04
  0.100    2.8490E-02    2.8231E-02    2.5921E-04
  0.110    3.1378E-02    3.1092E-02    2.8590E-04
  0.120    3.4274E-02    3.3961E-02    3.1275E-04
  0.130    3.7178E-02    3.6838E-02    3.3975E-04
  0.140    4.0091E-02    3.9724E-02    3.6692E-04
  0.150    4.3012E-02    4.2618E-02    3.9425E-04
  0.160    4.5943E-02    4.5522E-02    4.2176E-04
  0.170    4.8884E-02    4.8434E-02    4.4944E-04
  0.180    5.1834E-02    5.1357E-02    4.7729E-04
  0.190    5.4795E-02    5.4290E-02    5.0533E-04
  0.200    5.7766E-02    5.7233E-02    5.3356E-04
  0.210    6.0748E-02    6.0186E-02    5.6198E-04
  0.220    6.3742E-02    6.3151E-02    5.9059E-04
  0.230    6.6747E-02    6.6127E-02    6.1941E-04
  0.240    6.9763E-02    6.9115E-02    6.4844E-04
  0.250    7.2793E-02    7.2115E-02    6.7767E-04
  0.260    7.5835E-02    7.5127E-02    7.0713E-04
  0.270    7.8890E-02    7.8153E-02    7.3680E-04
  0.280    8.1958E-02    8.1191E-02    7.6671E-04
  0.290    8.5041E-02    8.4244E-02    7.9685E-04
  0.300    8.8137E-02    8.7310E-02    8.2723E-04
  0.310    9.1249E-02    9.0391E-02    8.5786E-04
  0.320    9.4376E-02    9.3487E-02    8.8874E-04
  0.330    9.7519E-02    9.6599E-02    9.1987E-04
  0.340    1.0068E-01    9.9726E-02    9.5128E-04
  0.350    1.0385E-01    1.0287E-01    9.8296E-04
  0.360    1.0705E-01    1.0603E-01    1.0149E-03
  0.370    1.1026E-01    1.0921E-01    1.0472E-03
  0.380    1.1348E-01    1.1241E-01    1.0797E-03
  0.390    1.1673E-01    1.1562E-01    1.1126E-03
  0.400    1.2000E-01    1.1885E-01    1.1457E-03
  0.410    1.2329E-01    1.2211E-01    1.1792E-03
  0.420    1.2659E-01    1.2538E-01    1.2130E-03
  0.430    1.2992E-01    1.2868E-01    1.2472E-03
  0.440    1.3327E-01    1.3199E-01    1.2817E-03
  0.450    1.3665E-01    1.3533E-01    1.3165E-03
  0.460    1.4004E-01    1.3869E-01    1.3517E-03
  0.470    1.4346E-01    1.4208E-01    1.3873E-03
  0.480    1.4691E-01    1.4549E-01    1.4233E-03
  0.490    1.5038E-01    1.4892E-01    1.4597E-03
  0.500    1.5388E-01    1.5238E-01    1.4965E-03
  0.510    1.5740E-01    1.5587E-01    1.5338E-03
  0.520    1.6095E-01    1.5938E-01    1.5714E-03
  0.530    1.6453E-01    1.6292E-01    1.6096E-03
  0.540    1.6815E-01    1.6650E-01    1.6481E-03
  0.550    1.7179E-01    1.7010E-01    1.6872E-03
  0.560    1.7546E-01    1.7373E-01    1.7268E-03
  0.570    1.7917E-01    1.7740E-01    1.7668E-03
  0.580    1.8291E-01    1.8110E-01    1.8075E-03
  0.590    1.8668E-01    1.8484E-01    1.8486E-03
  0.600    1.9050E-01    1.8861E-01    1.8903E-03
  0.610    1.9435E-01    1.9241E-01    1.9326E-03
  0.620    1.9823E-01    1.9626E-01    1.9755E-03
  0.630    2.0216E-01    2.0014E-01    2.0190E-03
  0.640    2.0613E-01    2.0407E-01    2.0631E-03
  0.650    2.1015E-01    2.0804E-01    2.1079E-03
  0.660    2.1420E-01    2.1205E-01    2.1534E-03
  0.670    2.1831E-01    2.1611E-01    2.1996E-03
  0.680    2.2246E-01    2.2021E-01    2.2466E-03
  0.690    2.2666E-01    2.2437E-01    2.2943E-03
  0.700    2.3091E-01    2.2857E-01    2.3427E-03
  0.710    2.3522E-01    2.3283E-01    2.3921E-03
  0.720    2.3958E-01    2.3714E-01    2.4422E-03
  0.730    2.4400E-01    2.4150E-01    2.4932E-03
  0.740    2.4847E-01    2.4593E-01    2.5452E-03
  0.750    2.5301E-01    2.5042E-01    2.5981E-03
  0.760    2.5762E-01    2.5497E-01    2.6520E-03
  0.770    2.6229E-01    2.5958E-01    2.7069E-03
  0.780    2.6703E-01    2.6427E-01    2.7629E-03
  0.790    2.7184E-01    2.6902E-01    2.8200E-03
  0.800    2.7673E-01    2.7385E-01    2.8783E-03
  0.810    2.8170E-01    2.7876E-01    2.9378E-03
