 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8497E-03    2.8244E-03    2.5294E-05
  0.020    5.7049E-03    5.6542E-03    5.0710E-05
  0.030    8.5658E-03    8.4895E-03    7.6252E-05
  0.040    1.1433E-02    1.1331E-02    1.0192E-04
  0.050    1.4306E-02    1.4178E-02    1.2772E-04
  0.060    1.7185E-02    1.7031E-02    1.5366E-04
  0.070    2.0071E-02    1.9891E-02    1.7973E-04
  0.080    2.2964E-02    2.2758E-02    2.0595E-04
  0.090    2.5864E-02    2.5631E-02    2.3231E-04
  0.100    2.8771E-02    2.8512E-02    2.5882E-04
  0.110    3.1686E-02    3.1400E-02    2.8548E-04
  0.120    3.4608E-02    3.4296E-02    3.1229E-04
  0.130    3.7539E-02    3.7200E-02    3.3927E-04
  0.140    4.0479E-02    4.0112E-02    3.6641E-04
  0.150    4.3427E-02    4.3033E-02    3.9372E-04
  0.160    4.6384E-02    4.5962E-02    4.2120E-04
  0.170    4.9350E-02    4.8901E-02    4.4886E-04
  0.180    5.2325E-02    5.1849E-02    4.7669E-04
  0.190    5.5311E-02    5.4806E-02    5.0471E-04
  0.200    5.8307E-02    5.7774E-02    5.3293E-04
  0.210    6.1313E-02    6.0751E-02    5.6133E-04
  0.220    6.4330E-02    6.3740E-02    5.8994E-04
  0.230    6.7358E-02    6.6739E-02    6.1875E-04
  0.240    7.0397E-02    6.9749E-02    6.4777E-04
  0.250    7.3448E-02    7.2771E-02    6.7700E-04
  0.260    7.6512E-02    7.5805E-02    7.0645E-04
  0.270    7.9588E-02    7.8852E-02    7.3613E-04
  0.280    8.2676E-02    8.1910E-02    7.6604E-04
  0.290    8.5778E-02    8.4982E-02    7.9619E-04
  0.300    8.8894E-02    8.8067E-02    8.2658E-04
  0.310    9.2024E-02    9.1166E-02    8.5723E-04
  0.320    9.5168E-02    9.4280E-02    8.8812E-04
  0.330    9.8327E-02    9.7407E-02    9.1928E-04
  0.340    1.0150E-01    1.0055E-01    9.5071E-04
  0.350    1.0469E-01    1.0371E-01    9.8242E-04
  0.360    1.0790E-01    1.0688E-01    1.0144E-03
  0.370    1.1112E-01    1.1007E-01    1.0467E-03
  0.380    1.1436E-01    1.1328E-01    1.0793E-03
  0.390    1.1762E-01    1.1651E-01    1.1122E-03
  0.400    1.2089E-01    1.1975E-01    1.1454E-03
  0.410    1.2419E-01    1.2301E-01    1.1789E-03
  0.420    1.2750E-01    1.2629E-01    1.2127E-03
  0.430    1.3084E-01    1.2959E-01    1.2469E-03
