 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7654E-03    2.7402E-03    2.5251E-05
  0.020    5.5364E-03    5.4858E-03    5.0631E-05
  0.030    8.3132E-03    8.2371E-03    7.6144E-05
  0.040    1.1096E-02    1.0994E-02    1.0179E-04
  0.050    1.3885E-02    1.3758E-02    1.2758E-04
  0.060    1.6681E-02    1.6527E-02    1.5351E-04
  0.070    1.9484E-02    1.9304E-02    1.7958E-04
  0.080    2.2293E-02    2.2087E-02    2.0580E-04
  0.090    2.5110E-02    2.4878E-02    2.3218E-04
  0.100    2.7935E-02    2.7676E-02    2.5871E-04
  0.110    3.0768E-02    3.0482E-02    2.8540E-04
  0.120    3.3609E-02    3.3296E-02    3.1225E-04
  0.130    3.6458E-02    3.6119E-02    3.3928E-04
  0.140    3.9316E-02    3.8950E-02    3.6647E-04
  0.150    4.2184E-02    4.1790E-02    3.9384E-04
  0.160    4.5061E-02    4.4639E-02    4.2139E-04
  0.170    4.7948E-02    4.7498E-02    4.4913E-04
  0.180    5.0845E-02    5.0367E-02    4.7706E-04
  0.190    5.3752E-02    5.3247E-02    5.0517E-04
  0.200    5.6670E-02    5.6137E-02    5.3349E-04
  0.210    5.9599E-02    5.9037E-02    5.6201E-04
  0.220    6.2540E-02    6.1950E-02    5.9074E-04
  0.230    6.5493E-02    6.4874E-02    6.1968E-04
  0.240    6.8458E-02    6.7809E-02    6.4884E-04
  0.250    7.1436E-02    7.0758E-02    6.7822E-04
  0.260    7.4427E-02    7.3719E-02    7.0783E-04
  0.270    7.7432E-02    7.6694E-02    7.3768E-04
  0.280    8.0450E-02    7.9682E-02    7.6777E-04
  0.290    8.3483E-02    8.2685E-02    7.9810E-04
  0.300    8.6530E-02    8.5702E-02    8.2868E-04
  0.310    8.9593E-02    8.8734E-02    8.5953E-04
  0.320    9.2672E-02    9.1781E-02    8.9064E-04
  0.330    9.5767E-02    9.4845E-02    9.2202E-04
  0.340    9.8878E-02    9.7925E-02    9.5368E-04
  0.350    1.0201E-01    1.0102E-01    9.8563E-04
  0.360    1.0515E-01    1.0414E-01    1.0179E-03
  0.370    1.0832E-01    1.0727E-01    1.0504E-03
  0.380    1.1150E-01    1.1042E-01    1.0833E-03
  0.390    1.1471E-01    1.1359E-01    1.1164E-03
  0.400    1.1793E-01    1.1678E-01    1.1499E-03
  0.410    1.2117E-01    1.1999E-01    1.1838E-03
  0.420    1.2444E-01    1.2322E-01    1.2179E-03
  0.430    1.2773E-01    1.2648E-01    1.2525E-03
  0.440    1.3104E-01    1.2975E-01    1.2874E-03
  0.450    1.3437E-01    1.3305E-01    1.3226E-03
  0.460    1.3773E-01    1.3637E-01    1.3583E-03
  0.470    1.4111E-01    1.3972E-01    1.3943E-03
  0.480    1.4452E-01    1.4309E-01    1.4307E-03
  0.490    1.4796E-01    1.4649E-01    1.4676E-03
  0.500    1.5142E-01    1.4991E-01    1.5049E-03
  0.510    1.5491E-01    1.5337E-01    1.5426E-03
  0.520    1.5843E-01    1.5685E-01    1.5808E-03
  0.530    1.6198E-01    1.6036E-01    1.6195E-03
  0.540    1.6556E-01    1.6390E-01    1.6586E-03
  0.550    1.6917E-01    1.6747E-01    1.6982E-03
  0.560    1.7282E-01    1.7108E-01    1.7384E-03
  0.570    1.7650E-01    1.7472E-01    1.7791E-03
  0.580    1.8021E-01    1.7839E-01    1.8203E-03
  0.590    1.8397E-01    1.8210E-01    1.8621E-03
  0.600    1.8776E-01    1.8585E-01    1.9044E-03
  0.610    1.9158E-01    1.8964E-01    1.9474E-03
  0.620    1.9545E-01    1.9346E-01    1.9909E-03
  0.630    1.9936E-01    1.9733E-01    2.0351E-03
  0.640    2.0332E-01    2.0124E-01    2.0800E-03
  0.650    2.0732E-01    2.0519E-01    2.1256E-03
  0.660    2.1136E-01    2.0919E-01    2.1718E-03
  0.670    2.1546E-01    2.1324E-01    2.2188E-03
  0.680    2.1960E-01    2.1733E-01    2.2666E-03
  0.690    2.2379E-01    2.2148E-01    2.3151E-03
  0.700    2.2804E-01    2.2568E-01    2.3644E-03
  0.710    2.3234E-01    2.2993E-01    2.4146E-03
  0.720    2.3670E-01    2.3424E-01    2.4657E-03
  0.730    2.4113E-01    2.3861E-01    2.5176E-03
  0.740    2.4561E-01    2.4304E-01    2.5705E-03
  0.750    2.5015E-01    2.4753E-01    2.6244E-03
  0.760    2.5477E-01    2.5209E-01    2.6793E-03
  0.770    2.5945E-01    2.5671E-01    2.7352E-03
  0.780    2.6420E-01    2.6141E-01    2.7922E-03
  0.790    2.6903E-01    2.6618E-01    2.8504E-03
  0.800    2.7394E-01    2.7103E-01    2.9098E-03
  0.810    2.7893E-01    2.7596E-01    2.9703E-03
  0.820    2.8401E-01    2.8098E-01    3.0322E-03
  0.830    2.8917E-01    2.8607E-01    3.0954E-03
  0.840    2.9443E-01    2.9127E-01    3.1601E-03
  0.850    2.9978E-01    2.9655E-01    3.2262E-03
  0.860    3.0523E-01    3.0194E-01    3.2938E-03
  0.870    3.1079E-01    3.0742E-01    3.3630E-03
  0.880    3.1645E-01    3.1302E-01    3.4339E-03
  0.890    3.2223E-01    3.1873E-01    3.5066E-03
  0.900    3.2814E-01    3.2455E-01    3.5811E-03
  0.910    3.3416E-01    3.3050E-01    3.6575E-03
  0.920    3.4032E-01    3.3658E-01    3.7360E-03
  0.930    3.4662E-01    3.4280E-01    3.8166E-03
  0.940    3.5306E-01    3.4916E-01    3.8994E-03
  0.950    3.5965E-01    3.5567E-01    3.9847E-03
  0.960    3.6640E-01    3.6233E-01    4.0723E-03
  0.970    3.7332E-01    3.6916E-01    4.1627E-03
  0.980    3.8042E-01    3.7616E-01    4.2557E-03
  0.990    3.8770E-01    3.8334E-01    4.3518E-03
  1.000    3.9517E-01    3.9072E-01    4.4509E-03
