 albedo      I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    4.0944E-03    4.0765E-03    1.7865E-05
  0.020    8.1911E-03    8.1553E-03    3.5808E-05
  0.030    1.2290E-02    1.2236E-02    5.3831E-05
  0.040    1.6392E-02    1.6320E-02    7.1937E-05
  0.050    2.0497E-02    2.0407E-02    9.0128E-05
  0.060    2.4604E-02    2.4496E-02    1.0841E-04
  0.070    2.8715E-02    2.8588E-02    1.2677E-04
  0.080    3.2829E-02    3.2684E-02    1.4523E-04
  0.090    3.6946E-02    3.6783E-02    1.6379E-04
  0.100    4.1068E-02    4.0885E-02    1.8244E-04
  0.110    4.5193E-02    4.4991E-02    2.0120E-04
  0.120    4.9322E-02    4.9102E-02    2.2005E-04
  0.130    5.3455E-02    5.3216E-02    2.3902E-04
  0.140    5.7593E-02    5.7335E-02    2.5809E-04
  0.150    6.1735E-02    6.1458E-02    2.7727E-04
  0.160    6.5882E-02    6.5586E-02    2.9657E-04
  0.170    7.0035E-02    6.9719E-02    3.1599E-04
  0.180    7.4192E-02    7.3857E-02    3.3553E-04
  0.190    7.8356E-02    7.8000E-02    3.5520E-04
  0.200    8.2524E-02    8.2149E-02    3.7499E-04
  0.210    8.6699E-02    8.6304E-02    3.9492E-04
  0.220    9.0880E-02    9.0465E-02    4.1498E-04
  0.230    9.5068E-02    9.4633E-02    4.3518E-04
  0.240    9.9262E-02    9.8807E-02    4.5553E-04
  0.250    1.0346E-01    1.0299E-01    4.7602E-04
  0.260    1.0767E-01    1.0717E-01    4.9667E-04
  0.270    1.1189E-01    1.1137E-01    5.1747E-04
  0.280    1.1611E-01    1.1557E-01    5.3843E-04
  0.290    1.2034E-01    1.1978E-01    5.5956E-04
  0.300    1.2458E-01    1.2400E-01    5.8085E-04
  0.310    1.2883E-01    1.2823E-01    6.0232E-04
  0.320    1.3309E-01    1.3247E-01    6.2397E-04
  0.330    1.3736E-01    1.3671E-01    6.4580E-04
  0.340    1.4163E-01    1.4097E-01    6.6783E-04
  0.350    1.4592E-01    1.4523E-01    6.9004E-04
  0.360    1.5022E-01    1.4950E-01    7.1246E-04
  0.370    1.5453E-01    1.5379E-01    7.3509E-04
  0.380    1.5884E-01    1.5809E-01    7.5793E-04
  0.390    1.6317E-01    1.6239E-01    7.8099E-04
  0.400    1.6752E-01    1.6671E-01    8.0427E-04
  0.410    1.7187E-01    1.7104E-01    8.2779E-04
  0.420    1.7624E-01    1.7539E-01    8.5154E-04
  0.430    1.8062E-01    1.7974E-01    8.7555E-04
  0.440    1.8501E-01    1.8411E-01    8.9981E-04
  0.450    1.8942E-01    1.8850E-01    9.2433E-04
  0.460    1.9384E-01    1.9289E-01    9.4912E-04
  0.470    1.9828E-01    1.9731E-01    9.7419E-04
  0.480    2.0274E-01    2.0174E-01    9.9955E-04
  0.490    2.0720E-01    2.0618E-01    1.0252E-03
  0.500    2.1169E-01    2.1064E-01    1.0512E-03
  0.510    2.1620E-01    2.1512E-01    1.0774E-03
  0.520    2.2072E-01    2.1961E-01    1.1041E-03
  0.530    2.2526E-01    2.2413E-01    1.1310E-03
  0.540    2.2982E-01    2.2866E-01    1.1583E-03
  0.550    2.3440E-01    2.3321E-01    1.1860E-03
  0.560    2.3900E-01    2.3778E-01    1.2140E-03
  0.570    2.4362E-01    2.4238E-01    1.2424E-03
  0.580    2.4826E-01    2.4699E-01    1.2712E-03
  0.590    2.5293E-01    2.5163E-01    1.3005E-03
  0.600    2.5762E-01    2.5629E-01    1.3301E-03
  0.610    2.6234E-01    2.6098E-01    1.3602E-03
  0.620    2.6708E-01    2.6569E-01    1.3908E-03
  0.630    2.7185E-01    2.7043E-01    1.4218E-03
  0.640    2.7664E-01    2.7519E-01    1.4534E-03
  0.650    2.8147E-01    2.7998E-01    1.4854E-03
  0.660    2.8632E-01    2.8480E-01    1.5180E-03
  0.670    2.9121E-01    2.8966E-01    1.5512E-03
  0.680    2.9612E-01    2.9454E-01    1.5849E-03
  0.690    3.0108E-01    2.9946E-01    1.6192E-03
  0.700    3.0606E-01    3.0441E-01    1.6541E-03
  0.710    3.1108E-01    3.0939E-01    1.6897E-03
  0.720    3.1614E-01    3.1442E-01    1.7260E-03
  0.730    3.2124E-01    3.1948E-01    1.7630E-03
  0.740    3.2638E-01    3.2458E-01    1.8007E-03
  0.750    3.3156E-01    3.2972E-01    1.8391E-03
  0.760    3.3679E-01    3.3491E-01    1.8784E-03
  0.770    3.4206E-01    3.4014E-01    1.9185E-03
  0.780    3.4738E-01    3.4542E-01    1.9594E-03
  0.790    3.5275E-01    3.5075E-01    2.0013E-03
  0.800    3.5817E-01    3.5613E-01    2.0441E-03
  0.810    3.6365E-01    3.6156E-01    2.0879E-03
  0.820    3.6918E-01    3.6705E-01    2.1328E-03
  0.830    3.7477E-01    3.7259E-01    2.1787E-03
  0.840    3.8043E-01    3.7820E-01    2.2258E-03
  0.850    3.8615E-01    3.8388E-01    2.2740E-03
  0.860    3.9194E-01    3.8962E-01    2.3236E-03
  0.870    3.9780E-01    3.9543E-01    2.3744E-03
  0.880    4.0374E-01    4.0131E-01    2.4267E-03
  0.890    4.0975E-01    4.0727E-01    2.4804E-03
  0.900    4.1585E-01    4.1331E-01    2.5356E-03
  0.910    4.2204E-01    4.1944E-01    2.5925E-03
  0.920    4.2831E-01    4.2566E-01    2.6511E-03
  0.930    4.3468E-01    4.3197E-01    2.7115E-03
  0.940    4.4116E-01    4.3838E-01    2.7738E-03
  0.950    4.4774E-01    4.4490E-01    2.8381E-03
  0.960    4.5443E-01    4.5153E-01    2.9046E-03
  0.970    4.6124E-01    4.5827E-01    2.9734E-03
  0.980    4.6818E-01    4.6513E-01    3.0446E-03
  0.990    4.7525E-01    4.7213E-01    3.1183E-03
  1.000    4.8246E-01    4.7926E-01    3.1948E-03
