 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7000E-03    2.6741E-03    2.5892E-05
  0.020    5.4055E-03    5.3536E-03    5.1917E-05
  0.030    8.1167E-03    8.0387E-03    7.8078E-05
  0.040    1.0834E-02    1.0730E-02    1.0438E-04
  0.050    1.3557E-02    1.3427E-02    1.3082E-04
  0.060    1.6287E-02    1.6130E-02    1.5741E-04
  0.070    1.9024E-02    1.8840E-02    1.8415E-04
  0.080    2.1768E-02    2.1557E-02    2.1104E-04
  0.090    2.4519E-02    2.4281E-02    2.3808E-04
  0.100    2.7277E-02    2.7012E-02    2.6529E-04
  0.110    3.0043E-02    2.9750E-02    2.9265E-04
  0.120    3.2817E-02    3.2497E-02    3.2019E-04
  0.130    3.5600E-02    3.5252E-02    3.4789E-04
  0.140    3.8391E-02    3.8015E-02    3.7577E-04
  0.150    4.1191E-02    4.0787E-02    4.0383E-04
  0.160    4.4000E-02    4.3568E-02    4.3208E-04
  0.170    4.6819E-02    4.6358E-02    4.6051E-04
  0.180    4.9647E-02    4.9158E-02    4.8913E-04
  0.190    5.2486E-02    5.1968E-02    5.1795E-04
  0.200    5.5334E-02    5.4787E-02    5.4697E-04
  0.210    5.8194E-02    5.7618E-02    5.7619E-04
  0.220    6.1065E-02    6.0459E-02    6.0563E-04
  0.230    6.3947E-02    6.3312E-02    6.3528E-04
  0.240    6.6841E-02    6.6176E-02    6.6516E-04
  0.250    6.9747E-02    6.9052E-02    6.9526E-04
  0.260    7.2666E-02    7.1940E-02    7.2559E-04
  0.270    7.5598E-02    7.4842E-02    7.5616E-04
  0.280    7.8543E-02    7.7756E-02    7.8697E-04
  0.290    8.1501E-02    8.0683E-02    8.1804E-04
  0.300    8.4474E-02    8.3624E-02    8.4936E-04
  0.310    8.7461E-02    8.6580E-02    8.8094E-04
  0.320    9.0463E-02    8.9550E-02    9.1279E-04
  0.330    9.3481E-02    9.2536E-02    9.4492E-04
  0.340    9.6514E-02    9.5537E-02    9.7733E-04
  0.350    9.9564E-02    9.8554E-02    1.0100E-03
  0.360    1.0263E-01    1.0159E-01    1.0430E-03
  0.370    1.0571E-01    1.0464E-01    1.0763E-03
  0.380    1.0882E-01    1.0771E-01    1.1099E-03
  0.390    1.1194E-01    1.1079E-01    1.1439E-03
  0.400    1.1508E-01    1.1390E-01    1.1781E-03
  0.410    1.1823E-01    1.1702E-01    1.2127E-03
  0.420    1.2141E-01    1.2016E-01    1.2477E-03
  0.430    1.2461E-01    1.2333E-01    1.2830E-03
  0.440    1.2783E-01    1.2651E-01    1.3187E-03
  0.450    1.3107E-01    1.2972E-01    1.3547E-03
  0.460    1.3434E-01    1.3295E-01    1.3912E-03
  0.470    1.3763E-01    1.3620E-01    1.4280E-03
  0.480    1.4094E-01    1.3947E-01    1.4653E-03
  0.490    1.4428E-01    1.4277E-01    1.5029E-03
  0.500    1.4764E-01    1.4610E-01    1.5410E-03
