 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7695E-03    2.7441E-03    2.5409E-05
  0.020    5.5439E-03    5.4930E-03    5.0944E-05
  0.030    8.3236E-03    8.2470E-03    7.6608E-05
  0.040    1.1109E-02    1.1006E-02    1.0240E-04
  0.050    1.3900E-02    1.3771E-02    1.2834E-04
  0.060    1.6696E-02    1.6542E-02    1.5441E-04
  0.070    1.9499E-02    1.9319E-02    1.8062E-04
  0.080    2.2309E-02    2.2102E-02    2.0698E-04
  0.090    2.5125E-02    2.4891E-02    2.3348E-04
  0.100    2.7948E-02    2.7688E-02    2.6015E-04
  0.110    3.0778E-02    3.0491E-02    2.8696E-04
  0.120    3.3616E-02    3.3302E-02    3.1394E-04
  0.130    3.6461E-02    3.6120E-02    3.4108E-04
  0.140    3.9314E-02    3.8946E-02    3.6839E-04
  0.150    4.2176E-02    4.1780E-02    3.9587E-04
  0.160    4.5046E-02    4.4623E-02    4.2353E-04
  0.170    4.7926E-02    4.7474E-02    4.5137E-04
  0.180    5.0814E-02    5.0335E-02    4.7939E-04
  0.190    5.3712E-02    5.3204E-02    5.0761E-04
  0.200    5.6620E-02    5.6084E-02    5.3602E-04
  0.210    5.9538E-02    5.8973E-02    5.6463E-04
  0.220    6.2466E-02    6.1873E-02    5.9344E-04
  0.230    6.5406E-02    6.4783E-02    6.2246E-04
  0.240    6.8356E-02    6.7704E-02    6.5170E-04
  0.250    7.1318E-02    7.0637E-02    6.8116E-04
  0.260    7.4292E-02    7.3581E-02    7.1084E-04
  0.270    7.7278E-02    7.6538E-02    7.4075E-04
  0.280    8.0277E-02    7.9506E-02    7.7091E-04
  0.290    8.3289E-02    8.2488E-02    8.0130E-04
  0.300    8.6315E-02    8.5483E-02    8.3195E-04
  0.310    8.9355E-02    8.8492E-02    8.6285E-04
  0.320    9.2408E-02    9.1514E-02    8.9402E-04
  0.330    9.5477E-02    9.4552E-02    9.2545E-04
  0.340    9.8561E-02    9.7604E-02    9.5717E-04
  0.350    1.0166E-01    1.0067E-01    9.8916E-04
  0.360    1.0478E-01    1.0376E-01    1.0215E-03
  0.370    1.0791E-01    1.0686E-01    1.0540E-03
  0.380    1.1106E-01    1.0997E-01    1.0869E-03
  0.390    1.1423E-01    1.1311E-01    1.1201E-03
  0.400    1.1741E-01    1.1626E-01    1.1537E-03
  0.410    1.2062E-01    1.1943E-01    1.1876E-03
  0.420    1.2384E-01    1.2262E-01    1.2218E-03
  0.430    1.2709E-01    1.2583E-01    1.2563E-03
  0.440    1.3035E-01    1.2906E-01    1.2913E-03
  0.450    1.3364E-01    1.3231E-01    1.3266E-03
  0.460    1.3694E-01    1.3558E-01    1.3623E-03
  0.470    1.4027E-01    1.3888E-01    1.3984E-03
  0.480    1.4363E-01    1.4219E-01    1.4348E-03
  0.490    1.4701E-01    1.4553E-01    1.4718E-03
  0.500    1.5041E-01    1.4890E-01    1.5091E-03
  0.510    1.5384E-01    1.5229E-01    1.5469E-03
  0.520    1.5729E-01    1.5571E-01    1.5851E-03
  0.530    1.6077E-01    1.5915E-01    1.6238E-03
  0.540    1.6428E-01    1.6262E-01    1.6630E-03
  0.550    1.6782E-01    1.6612E-01    1.7027E-03
  0.560    1.7139E-01    1.6965E-01    1.7429E-03
  0.570    1.7499E-01    1.7321E-01    1.7837E-03
  0.580    1.7862E-01    1.7680E-01    1.8250E-03
  0.590    1.8229E-01    1.8042E-01    1.8668E-03
  0.600    1.8599E-01    1.8408E-01    1.9093E-03
  0.610    1.8972E-01    1.8777E-01    1.9523E-03
  0.620    1.9349E-01    1.9149E-01    1.9960E-03
  0.630    1.9730E-01    1.9526E-01    2.0403E-03
  0.640    2.0114E-01    1.9906E-01    2.0853E-03
  0.650    2.0503E-01    2.0290E-01    2.1310E-03
  0.660    2.0896E-01    2.0678E-01    2.1774E-03
  0.670    2.1293E-01    2.1070E-01    2.2245E-03
  0.680    2.1694E-01    2.1467E-01    2.2724E-03
  0.690    2.2101E-01    2.1868E-01    2.3210E-03
  0.700    2.2512E-01    2.2274E-01    2.3705E-03
  0.710    2.2927E-01    2.2685E-01    2.4209E-03
  0.720    2.3349E-01    2.3101E-01    2.4721E-03
  0.730    2.3775E-01    2.3523E-01    2.5243E-03
  0.740    2.4207E-01    2.3949E-01    2.5774E-03
  0.750    2.4645E-01    2.4381E-01    2.6314E-03
  0.760    2.5088E-01    2.4820E-01    2.6865E-03
  0.770    2.5538E-01    2.5264E-01    2.7427E-03
  0.780    2.5994E-01    2.5714E-01    2.8000E-03
  0.790    2.6458E-01    2.6172E-01    2.8584E-03
  0.800    2.6928E-01    2.6636E-01    2.9180E-03
  0.810    2.7405E-01    2.7107E-01    2.9789E-03
  0.820    2.7890E-01    2.7586E-01    3.0411E-03
  0.830    2.8383E-01    2.8072E-01    3.1046E-03
  0.840    2.8884E-01    2.8567E-01    3.1695E-03
  0.850    2.9393E-01    2.9070E-01    3.2359E-03
  0.860    2.9912E-01    2.9582E-01    3.3039E-03
  0.870    3.0440E-01    3.0103E-01    3.3734E-03
  0.880    3.0978E-01    3.0633E-01    3.4447E-03
  0.890    3.1526E-01    3.1174E-01    3.5177E-03
  0.900    3.2085E-01    3.1726E-01    3.5926E-03
  0.910    3.2655E-01    3.2288E-01    3.6694E-03
  0.920    3.3237E-01    3.2862E-01    3.7482E-03
  0.930    3.3831E-01    3.3448E-01    3.8292E-03
  0.940    3.4439E-01    3.4047E-01    3.9125E-03
  0.950    3.5060E-01    3.4660E-01    3.9981E-03
  0.960    3.5695E-01    3.5286E-01    4.0862E-03
  0.970    3.6345E-01    3.5928E-01    4.1770E-03
  0.980    3.7012E-01    3.6585E-01    4.2705E-03
  0.990    3.7695E-01    3.7258E-01    4.3669E-03
  1.000    3.8395E-01    3.7949E-01    4.4665E-03
