 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8335E-03    2.8081E-03    2.5352E-05
  0.020    5.6723E-03    5.6214E-03    5.0832E-05
  0.030    8.5165E-03    8.4401E-03    7.6442E-05
  0.040    1.1367E-02    1.1264E-02    1.0219E-04
  0.050    1.4223E-02    1.4095E-02    1.2807E-04
  0.060    1.7085E-02    1.6931E-02    1.5409E-04
  0.070    1.9954E-02    1.9774E-02    1.8025E-04
  0.080    2.2829E-02    2.2623E-02    2.0657E-04
  0.090    2.5712E-02    2.5479E-02    2.3303E-04
  0.100    2.8602E-02    2.8343E-02    2.5965E-04
  0.110    3.1500E-02    3.1214E-02    2.8643E-04
  0.120    3.4406E-02    3.4092E-02    3.1337E-04
  0.130    3.7320E-02    3.6979E-02    3.4047E-04
  0.140    4.0242E-02    3.9874E-02    3.6775E-04
  0.150    4.3173E-02    4.2778E-02    3.9520E-04
  0.160    4.6114E-02    4.5691E-02    4.2283E-04
  0.170    4.9063E-02    4.8613E-02    4.5065E-04
  0.180    5.2023E-02    5.1544E-02    4.7865E-04
  0.190    5.4993E-02    5.4486E-02    5.0684E-04
  0.200    5.7973E-02    5.7438E-02    5.3524E-04
  0.210    6.0964E-02    6.0400E-02    5.6383E-04
  0.220    6.3966E-02    6.3373E-02    5.9263E-04
  0.230    6.6980E-02    6.6358E-02    6.2165E-04
  0.240    7.0005E-02    6.9355E-02    6.5088E-04
  0.250    7.3043E-02    7.2363E-02    6.8033E-04
  0.260    7.6094E-02    7.5384E-02    7.1002E-04
  0.270    7.9158E-02    7.8418E-02    7.3993E-04
  0.280    8.2235E-02    8.1465E-02    7.7009E-04
  0.290    8.5326E-02    8.4526E-02    8.0050E-04
  0.300    8.8432E-02    8.7600E-02    8.3116E-04
  0.310    9.1552E-02    9.0690E-02    8.6207E-04
  0.320    9.4688E-02    9.3794E-02    8.9326E-04
  0.330    9.7839E-02    9.6914E-02    9.2471E-04
  0.340    1.0101E-01    1.0005E-01    9.5645E-04
  0.350    1.0419E-01    1.0320E-01    9.8847E-04
  0.360    1.0739E-01    1.0637E-01    1.0208E-03
  0.370    1.1061E-01    1.0956E-01    1.0534E-03
  0.380    1.1385E-01    1.1276E-01    1.0863E-03
  0.390    1.1711E-01    1.1599E-01    1.1196E-03
  0.400    1.2038E-01    1.1923E-01    1.1532E-03
  0.410    1.2368E-01    1.2249E-01    1.1871E-03
  0.420    1.2700E-01    1.2578E-01    1.2213E-03
  0.430    1.3034E-01    1.2908E-01    1.2560E-03
  0.440    1.3370E-01    1.3241E-01    1.2909E-03
  0.450    1.3708E-01    1.3575E-01    1.3263E-03
  0.460    1.4049E-01    1.3912E-01    1.3620E-03
  0.470    1.4392E-01    1.4252E-01    1.3982E-03
  0.480    1.4737E-01    1.4594E-01    1.4347E-03
  0.490    1.5085E-01    1.4938E-01    1.4717E-03
  0.500    1.5436E-01    1.5285E-01    1.5090E-03
  0.510    1.5790E-01    1.5635E-01    1.5469E-03
  0.520    1.6146E-01    1.5987E-01    1.5852E-03
  0.530    1.6505E-01    1.6343E-01    1.6239E-03
  0.540    1.6868E-01    1.6701E-01    1.6632E-03
  0.550    1.7233E-01    1.7063E-01    1.7029E-03
  0.560    1.7601E-01    1.7427E-01    1.7432E-03
  0.570    1.7973E-01    1.7795E-01    1.7840E-03
  0.580    1.8349E-01    1.8166E-01    1.8253E-03
  0.590    1.8727E-01    1.8541E-01    1.8672E-03
  0.600    1.9110E-01    1.8919E-01    1.9097E-03
  0.610    1.9496E-01    1.9301E-01    1.9528E-03
  0.620    1.9886E-01    1.9687E-01    1.9965E-03
  0.630    2.0280E-01    2.0076E-01    2.0408E-03
  0.640    2.0679E-01    2.0470E-01    2.0858E-03
  0.650    2.1081E-01    2.0868E-01    2.1315E-03
  0.660    2.1489E-01    2.1271E-01    2.1779E-03
  0.670    2.1900E-01    2.1678E-01    2.2250E-03
  0.680    2.2317E-01    2.2090E-01    2.2729E-03
  0.690    2.2738E-01    2.2506E-01    2.3216E-03
  0.700    2.3165E-01    2.2928E-01    2.3710E-03
  0.710    2.3597E-01    2.3355E-01    2.4213E-03
  0.720    2.4035E-01    2.3788E-01    2.4725E-03
  0.730    2.4478E-01    2.4226E-01    2.5246E-03
  0.740    2.4927E-01    2.4670E-01    2.5776E-03
  0.750    2.5383E-01    2.5120E-01    2.6316E-03
  0.760    2.5845E-01    2.5576E-01    2.6866E-03
  0.770    2.6314E-01    2.6039E-01    2.7427E-03
  0.780    2.6789E-01    2.6509E-01    2.7998E-03
  0.790    2.7272E-01    2.6987E-01    2.8581E-03
