 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7907E-03    2.7655E-03    2.5173E-05
  0.020    5.5872E-03    5.5368E-03    5.0474E-05
  0.030    8.3900E-03    8.3141E-03    7.5905E-05
  0.040    1.1199E-02    1.1098E-02    1.0147E-04
  0.050    1.4015E-02    1.3888E-02    1.2717E-04
  0.060    1.6838E-02    1.6685E-02    1.5302E-04
  0.070    1.9668E-02    1.9489E-02    1.7900E-04
  0.080    2.2506E-02    2.2300E-02    2.0514E-04
  0.090    2.5351E-02    2.5120E-02    2.3143E-04
  0.100    2.8204E-02    2.7946E-02    2.5787E-04
  0.110    3.1066E-02    3.0782E-02    2.8448E-04
  0.120    3.3937E-02    3.3625E-02    3.1124E-04
  0.130    3.6816E-02    3.6478E-02    3.3818E-04
  0.140    3.9704E-02    3.9339E-02    3.6529E-04
  0.150    4.2603E-02    4.2210E-02    3.9257E-04
  0.160    4.5511E-02    4.5091E-02    4.2004E-04
  0.170    4.8429E-02    4.7981E-02    4.4769E-04
  0.180    5.1358E-02    5.0882E-02    4.7553E-04
  0.190    5.4298E-02    5.3794E-02    5.0357E-04
  0.200    5.7249E-02    5.6717E-02    5.3180E-04
  0.210    6.0211E-02    5.9651E-02    5.6024E-04
  0.220    6.3186E-02    6.2597E-02    5.8889E-04
  0.230    6.6173E-02    6.5555E-02    6.1776E-04
  0.240    6.9173E-02    6.8526E-02    6.4685E-04
  0.250    7.2186E-02    7.1510E-02    6.7616E-04
  0.260    7.5213E-02    7.4507E-02    7.0571E-04
  0.270    7.8253E-02    7.7518E-02    7.3550E-04
  0.280    8.1308E-02    8.0543E-02    7.6553E-04
  0.290    8.4378E-02    8.3582E-02    7.9581E-04
  0.300    8.7464E-02    8.6637E-02    8.2635E-04
  0.310    9.0565E-02    8.9707E-02    8.5715E-04
  0.320    9.3682E-02    9.2794E-02    8.8822E-04
  0.330    9.6816E-02    9.5897E-02    9.1957E-04
  0.340    9.9968E-02    9.9017E-02    9.5121E-04
  0.350    1.0314E-01    1.0215E-01    9.8314E-04
  0.360    1.0632E-01    1.0531E-01    1.0154E-03
  0.370    1.0953E-01    1.0848E-01    1.0479E-03
  0.380    1.1276E-01    1.1168E-01    1.0808E-03
  0.390    1.1600E-01    1.1489E-01    1.1139E-03
  0.400    1.1927E-01    1.1812E-01    1.1475E-03
  0.410    1.2256E-01    1.2138E-01    1.1813E-03
  0.420    1.2587E-01    1.2465E-01    1.2155E-03
  0.430    1.2920E-01    1.2795E-01    1.2501E-03
  0.440    1.3256E-01    1.3127E-01    1.2850E-03
  0.450    1.3594E-01    1.3462E-01    1.3204E-03
  0.460    1.3935E-01    1.3799E-01    1.3561E-03
  0.470    1.4278E-01    1.4138E-01    1.3922E-03
  0.480    1.4623E-01    1.4481E-01    1.4287E-03
  0.490    1.4972E-01    1.4825E-01    1.4657E-03
  0.500    1.5323E-01    1.5173E-01    1.5031E-03
  0.510    1.5677E-01    1.5523E-01    1.5410E-03
  0.520    1.6034E-01    1.5876E-01    1.5793E-03
  0.530    1.6395E-01    1.6233E-01    1.6181E-03
  0.540    1.6758E-01    1.6592E-01    1.6574E-03
  0.550    1.7125E-01    1.6955E-01    1.6972E-03
  0.560    1.7495E-01    1.7321E-01    1.7376E-03
  0.570    1.7868E-01    1.7691E-01    1.7785E-03
  0.580    1.8246E-01    1.8064E-01    1.8199E-03
  0.590    1.8626E-01    1.8440E-01    1.8619E-03
  0.600    1.9011E-01    1.8821E-01    1.9045E-03
  0.610    1.9400E-01    1.9205E-01    1.9478E-03
  0.620    1.9793E-01    1.9594E-01    1.9916E-03
  0.630    2.0190E-01    1.9986E-01    2.0361E-03
  0.640    2.0591E-01    2.0383E-01    2.0813E-03
  0.650    2.0997E-01    2.0784E-01    2.1272E-03
  0.660    2.1408E-01    2.1191E-01    2.1738E-03
  0.670    2.1823E-01    2.1601E-01    2.2212E-03
  0.680    2.2244E-01    2.2017E-01    2.2693E-03
  0.690    2.2670E-01    2.2438E-01    2.3182E-03
  0.700    2.3101E-01    2.2864E-01    2.3680E-03
  0.710    2.3538E-01    2.3296E-01    2.4186E-03
  0.720    2.3980E-01    2.3733E-01    2.4701E-03
  0.730    2.4429E-01    2.4176E-01    2.5225E-03
  0.740    2.4883E-01    2.4626E-01    2.5759E-03
  0.750    2.5345E-01    2.5082E-01    2.6303E-03
  0.760    2.5813E-01    2.5544E-01    2.6857E-03
  0.770    2.6287E-01    2.6013E-01    2.7422E-03
  0.780    2.6769E-01    2.6489E-01    2.7998E-03
  0.790    2.7259E-01    2.6973E-01    2.8586E-03
  0.800    2.7756E-01    2.7465E-01    2.9185E-03
  0.810    2.8262E-01    2.7964E-01    2.9798E-03
  0.820    2.8776E-01    2.8472E-01    3.0423E-03
  0.830    2.9299E-01    2.8988E-01    3.1062E-03
  0.840    2.9830E-01    2.9513E-01    3.1716E-03
  0.850    3.0372E-01    3.0048E-01    3.2384E-03
  0.860    3.0923E-01    3.0593E-01    3.3068E-03
  0.870    3.1485E-01    3.1148E-01    3.3768E-03
  0.880    3.2058E-01    3.1713E-01    3.4486E-03
  0.890    3.2642E-01    3.2290E-01    3.5221E-03
  0.900    3.3238E-01    3.2879E-01    3.5976E-03
  0.910    3.3847E-01    3.3479E-01    3.6750E-03
  0.920    3.4468E-01    3.4093E-01    3.7544E-03
  0.930    3.5104E-01    3.4720E-01    3.8361E-03
  0.940    3.5753E-01    3.5361E-01    3.9201E-03
  0.950    3.6418E-01    3.6017E-01    4.0065E-03
  0.960    3.7099E-01    3.6689E-01    4.0954E-03
  0.970    3.7796E-01    3.7377E-01    4.1871E-03
  0.980    3.8511E-01    3.8083E-01    4.2816E-03
  0.990    3.9244E-01    3.8806E-01    4.3791E-03
  1.000    3.9997E-01    3.9549E-01    4.4799E-03
